benchmark comment	environment	database	module	driver	trials	SQL statement	connection pool size	transaction size	bulk length	bulk size	batch size	start day time	end day time	mean duration (ns)	mean time per SQL stmnt (ns)	minimum duaration (ns)	maximum duartion (ns)Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_11_2_xe	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	512	1024	5000	256	2019.11.20 12:12:02.310426000	2019.11.20 12:12:11.430901000	21157133	4231	19635800	22303800	
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_11_2_xe	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:12:02.310426000	2019.11.20 12:12:11.430901000	249871900	49974	243719000	252976200	
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_11_2_xe	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	512	1024	5000	256	2019.11.20 12:12:11.998946000	2019.11.20 12:12:22.032195000	240125233	48025	228756800	259824400
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_11_2_xe	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:12:11.998946000	2019.11.20 12:12:22.032195000	2563465433	512693	2379668400	2720243600
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_12_2_ee	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	512	1024	5000	256	2019.11.20 12:14:01.826351000	2019.11.20 12:14:13.731290000	108707633	21742	22266000	275704200	
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_12_2_ee	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:14:01.826351000	2019.11.20 12:14:13.731290000	254502367	50900	252623300	255841200	
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_12_2_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	512	1024	5000	256	2019.11.20 12:14:14.318292300	2019.11.20 12:14:25.329830700	302645133	60529	247225200	336487500
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_12_2_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:14:14.318292300	2019.11.20 12:14:25.329830700	2769698967	553940	2741341000	2809426900
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_18_3_ee	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	512	1024	5000	256	2019.11.20 12:16:06.494618000	2019.11.20 12:16:22.881982000	119303167	23861	26500200	260652600	
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_18_3_ee	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:16:06.494618000	2019.11.20 12:16:22.881982000	370242367	74048	329945100	439004700	
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_18_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	512	1024	5000	256	2019.11.20 12:16:23.580984300	2019.11.20 12:16:39.159288900	517549167	103510	483620800	552720400
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_18_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:16:23.580984300	2019.11.20 12:16:39.159288900	3839400700	767880	3378452500	4335765500
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_19_3_ee	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	512	1024	5000	256	2019.11.20 12:18:20.575528000	2019.11.20 12:18:32.797888000	113110133	22622	20867200	289199300	
Standard tests (locally)	AMD64 / Windows-10-10.0.17134-SP0	db_19_3_ee	OraBench (Python 3.8.0)	cx_Oracle (Version v7.2.3)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:18:20.575528000	2019.11.20 12:18:32.797888000	256660567	51332	248772900	265456000	
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_19_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	512	1024	5000	256	2019.11.20 12:18:33.376888600	2019.11.20 12:18:43.799100400	299833967	59967	246855600	379694000
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_19_3_ee	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	3	SELECT data FROM ora_bench_table WHERE key = :key	0	512	1024	5000	256	2019.11.20 12:18:33.376888600	2019.11.20 12:18:43.799100400	2588089633	517618	2426847400	2797058200
